UPC,Description,Size,Category,Big_Pack_UPC,Pre_Total_Sales,Pre_Total_Units,Pre_Total_Visits,Pre_Total_HHs,Pre_HH_Pen,Pre_Spend_per_HH,Pre_Visits_per_HH,Pre_Spend_per_Visit,Pre_Units_per_Visit,Pre_Spend_per_Unit,Pre_Repeat_HHs,Pre_Repeat_Rate,Covid_Total_Sales,Covid_Total_Units,Covid_Total_Visits,Covid_Total_HHs,Covid_HH_Pen,Covid_Spend_per_HH,Covid_Visits_per_HH,Covid_Spend_per_Visit,Covid_Units_per_Visit,Covid_Spend_per_Unit,Covid_Repeat_HHs,Covid_Repeat_Rate,Pre_Loyal_Sales,Pre_Price_Sens_Sales,Covid_Loyal_Sales,Covid_Price_Sens_Sales,Pre_Ecomm_Sales,Pre_Ecomm_HHs,Pre_Ecomm_Visits,Pre_Ecomm_Units,Covid_Ecomm_Sales,Covid_Ecomm_HHs,Covid_Ecomm_Visits,Covid_Ecomm_Units
0002791701950,VITAFUSION PRENATAL GUMMY,90 CT,VITAMIN PRODUCTS,N,"","","","","","","","","","","","",427977.44999984733,39159,37268,28285,0.15449002016863525,15.130898002469413,1.317588828000707,11.483778308464295,1.0507405817323172,10.929223167084126,5572,19.699487360791938,"","",271825.9800000002,78092.29000000004,"","","","",74141.31000000022,4620,6439,6798
0001291912212,SBST BLEND GRND COFFEE,12 OZ,COFFEE,N,1468581.5800002813,296404,261397,127694,0.7033928041242679,11.500787664262074,2.0470578100772157,5.61820365191751,1.1339227305592643,4.954661812931949,39323,30.794712359233795,1454868.5000004685,301427,253305,117866,0.6437730499273948,12.343411161831813,2.149093037856549,5.74354434377714,1.1899765105307831,4.826603124472819,37124,31.496784484075135,1038931.9499999874,314169.5499999999,983233.2699999909,274810.74,56124.85000000007,4314,9635,11586,179692.47999999998,11198,28031,36740
0001299322101,LACROIX COCONUT SPRKL 8PK,8/12 FO,SPARKLING WATER,N,1656848.3699995729,511177,412411,173765,0.9571714458678826,9.534994791814075,2.3733835927833566,4.017468908442241,1.2394843978458383,3.2412420159740614,65723,37.82292176215003,1877526.5499997095,551529,431871,178234,0.9734974104555961,10.534053828111974,2.423056207008764,4.347424462396663,1.2770688469473523,3.4042209022548398,69864,39.197908367651515,1133283.6399999936,187207.93000000014,1229046.7199999858,171695.59000000014,139162.58999999988,11975,32808,42042,297251.6199999999,23810,65269,85773
0002840031401,SMRTFD WHITE CHDR POPCORN,6.75 OZ,BAG SNACKS,N,"","","","","","","","","","","","",5306429.200061217,1585762,1342183,659786,3.6036893210883223,8.042652011502543,2.034270202762714,3.953580994589573,1.1814797237038466,3.3462961024802063,225016,34.10439142388593,"","",3471024.979999932,1063676.789999987,"","","","",772569.8499999997,74220,182683,231100
0004150893483,SAN PEL SPKL MNRL WTR 6PK,6/16.9 FO,SPARKLING WATER,N,1094023.9599992684,209481,163825,72391,0.398760384069415,15.11270682818677,2.2630575624041662,6.678003723480961,1.2786876239890126,5.222545051815049,22882,31.608901659046012,1071609.1299994087,213835,154166,72820,0.3977360179840912,14.715862812406053,2.1170832188959077,6.951008198950539,1.3870438358652362,5.011383216028287,22814,31.329305135951664,737818.6999999955,65597.5,686775.0699999975,68421.13000000002,55129.720000000096,2830,7466,10667,106521.37000000004,6490,13877,21520
0007431219491,NTRB MELATONIN 10MG,60 CT,VITAMIN PRODUCTS,N,578038.4899999123,76329,45668,33086,0.18225174493128515,17.47078794656085,1.380281690140845,12.657407593936943,1.6713891565209775,7.572986545086564,6512,19.682040742307922,675213.209999851,82549,50091,36961,0.2018775193725624,18.268261410672086,1.3552393062958252,13.479731089414285,1.6479806751711885,8.179544391813964,6869,18.58445388382349,383001.83000000013,119798.56999999998,436917.0800000001,131428.0,21165.680000000048,1147,1551,2415,67900.34999999992,3495,4703,7127
0026952940000,SHRIMP RED 16/25 RW SC,1.00 RW,SEAFOOD - SHRIMP,N,391302.5499999981,43056,41772,24885,0.13707715265112227,15.724434398231791,1.678601567209162,9.367579957866468,1.030738293593795,9.088223476402781,6925,27.828008840667067,410844.3199999966,45541,43755,26665,0.14564173193553684,15.407624976560907,1.6409150571910744,9.389654210947242,1.0408181922066049,9.021416306185559,6985,26.195387211700734,247714.3,97905.41999999991,234506.32999999987,101732.81000000003,129.57999999999998,13,13,13,292.20000000000005,25,26,26
0007431204902,NTRB LUTEIN 20MG,40 CT,VITAMIN PRODUCTS,N,342159.4599999869,38755,20154,10275,0.05659906544063819,33.30019075425663,1.9614598540145984,16.977248188944476,1.9229433363104098,8.828782350664094,4396,42.78345498783455,"","","","","","","","","","","","",227143.10999999996,73822.37999999998,"","",3487.409999999988,128,201,337,"","","",""
0001299322125,LACROIX LIME SPRKL 8PK,8/12 FO,SPARKLING WATER,N,3702315.2200058205,1136800,920802,400744,2.2074682122572367,9.238604246116774,2.2977312199309283,4.020750628262993,1.2345759457516383,3.25678678747873,144886,36.154253089253984,4386903.230017729,1273256,974006,399076,2.1797157252543147,10.992651099083204,2.4406529082179835,4.5039796777614605,1.3072363003924001,3.4454212114592266,152878,38.307991460273236,2582712.259999984,289846.4700000004,2925275.48999997,273142.2300000001,268150.5500000001,22384,59799,80952,722169.5499999996,55590,147458,209395
0026953240000,SHRPNK PD31/40 PF RW SC,1 LB,SEAFOOD - SHRIMP,N,1015625.4899999199,118817,114465,73044,0.40235738550325795,13.904297272875526,1.5670691637916871,8.872803826496483,1.0380203555672038,8.547812939225194,18341,25.109523027216476,991325.1699999444,107954,104857,66784,0.36476795145632446,14.843752545519052,1.57009163871586,9.454067634969,1.029535462582374,9.182847972283977,16856,25.239578342117873,653820.4299999997,118975.52999999991,589977.9899999999,92221.12999999993,860.2500000000002,62,62,73,1100.0400000000004,96,99,103
